# Source: frameworks/base/services/java/com/android/server/SystemServer.java
# HEAD: 94b4c163b7dfe5ce3607f7bb8456f9573f7de57d (unmodified git show HEAD)
# Direct Java registration/start callsites only; conditional branches and dynamic names retained.
# This is NOT a mandatory-service allowlist or a complete runtime dependency graph.
line	method	call
1216	startBootstrapServices	ServiceManager.addService( Context.PROTOLOG_CONFIGURATION_SERVICE, new ProtoLogConfigurationServiceImpl())
1228	startBootstrapServices	ServiceManager.addService(Context.PLATFORM_COMPAT_SERVICE, platformCompat)
1229	startBootstrapServices	ServiceManager.addService(Context.PLATFORM_COMPAT_NATIVE_SERVICE, new PlatformCompatNative(platformCompat))
1238	startBootstrapServices	mSystemServiceManager.startService(FileIntegrityService.class)
1245	startBootstrapServices	mSystemServiceManager.startService(Installer.class)
1251	startBootstrapServices	mSystemServiceManager.startService(DeviceIdentifiersPolicyService.class)
1257	startBootstrapServices	mSystemServiceManager.startService(FeatureFlagsService.class)
1262	startBootstrapServices	mSystemServiceManager.startService(UriGrantsManagerService.Lifecycle.class)
1267	startBootstrapServices	mSystemServiceManager.startService(PowerStatsService.class)
1286	startBootstrapServices	mSystemServiceManager.startService(AccessCheckingService.class)
1292	startBootstrapServices	mSystemServiceManager.startService( ActivityTaskManagerService.Lifecycle.class)
1294	startBootstrapServices	ActivityManagerService.Lifecycle.startService( mSystemServiceManager, atm)
1303	startBootstrapServices	mSystemServiceManager.startService( DataLoaderManagerService.class)
1317	startBootstrapServices	mSystemServiceManager.startService(PowerManagerService.class)
1321	startBootstrapServices	mSystemServiceManager.startService(ThermalManagerService.class)
1332	startBootstrapServices	mSystemServiceManager.startService(RecoverySystemService.Lifecycle.class)
1337	startBootstrapServices	mSystemServiceManager.startService(LightsService.class)
1343	startBootstrapServices	mSystemServiceManager.startService(WEAR_DISPLAYOFFLOAD_SERVICE_CLASS)
1350	startBootstrapServices	mSystemServiceManager.startService(DisplayManagerService.class)
1369	startBootstrapServices	mSystemServiceManager.startService(domainVerificationService)
1375	startBootstrapServices	PackageManagerService.main( mSystemContext, installer, domainVerificationService, mFactoryTestMode != FactoryTest.FACTORY_TEST_OFF)
1402	startBootstrapServices	mSystemServiceManager.startService(ARC_SYSTEM_HEALTH_SERVICE)
1407	startBootstrapServices	mSystemServiceManager .startService(UserManagerService.LifeCycle.class)
1436	startBootstrapServices	mSystemServiceManager.startService(new OverlayManagerService(mSystemContext))
1443	startBootstrapServices	mSystemServiceManager.startService(resourcesService)
1447	startBootstrapServices	mSystemServiceManager.startService(new SensorPrivacyService(mSystemContext))
1459	startBootstrapServices	mSystemServiceManager.startService(SensorService.class)
1472	startCoreServices	mSystemServiceManager.startService(SystemConfigService.class)
1477	startCoreServices	mSystemServiceManager.startService(BatteryService.class)
1482	startCoreServices	mSystemServiceManager.startService(UsageStatsService.class)
1490	startCoreServices	mSystemServiceManager.startService(WebViewUpdateService.class)
1496	startCoreServices	mSystemServiceManager.startService(CachedDeviceStateService.class)
1502	startCoreServices	mSystemServiceManager.startService(BinderCallsStatsService.LifeCycle.class)
1507	startCoreServices	mSystemServiceManager.startService(LooperStatsService.Lifecycle.class)
1512	startCoreServices	mSystemServiceManager.startService(RollbackManagerService.class)
1517	startCoreServices	mSystemServiceManager.startService(NativeTombstoneManagerService.class)
1522	startCoreServices	mSystemServiceManager.startService(BugreportManagerService.class)
1527	startCoreServices	mSystemServiceManager.startService(GpuService.class)
1532	startCoreServices	mSystemServiceManager.startService(RemoteProvisioningService.class)
1540	startCoreServices	mSystemServiceManager.startService(CpuMonitorService.class)
1608	startOtherServices	ServiceManager.addService("sec_key_att_app_id_provider", new KeyAttestationApplicationIdProviderService(context))
1613	startOtherServices	mSystemServiceManager.startService(KeyChainSystemService.class)
1617	startOtherServices	mSystemServiceManager.startService(BinaryTransparencyService.class)
1621	startOtherServices	ServiceManager.addService("scheduling_policy", new SchedulingPolicyService())
1626	startOtherServices	mSystemServiceManager.startService( com.android.server.uilatencystats.UiLatencyStatsService.class)
1637	startOtherServices	mSystemServiceManager.startService(TelecomLoaderService.class)
1644	startOtherServices	ServiceManager.addService("telephony.registry", telephonyRegistry)
1653	startOtherServices	mSystemServiceManager.startService(AccountManagerService.Lifecycle.class)
1657	startOtherServices	mSystemServiceManager.startService(ContentService.Lifecycle.class)
1663	startOtherServices	mSystemServiceManager.startService(UPDATABLE_DEVICE_CONFIG_SERVICE_CLASS)
1671	startOtherServices	mSystemServiceManager.startService(NPU_MANAGER_SERVICE_CLASS)
1679	startOtherServices	mSystemServiceManager.startService(DropBoxManagerService.class)
1684	startOtherServices	mSystemServiceManager.startService(ENHANCED_CONFIRMATION_SERVICE_CLASS)
1689	startOtherServices	mSystemServiceManager.startService(HintManagerService.class)
